cam,elapsed,frame,hip_height,hip_tilt,max_knee_lift,shoulder_tilt,stride_width,track_id,trunk_angle
A,18.779905796051025,158,431.9,10.8,44.0,15.3,86.9,5,11.8
A,19.019270420074463,159,434.7,12.0,50.3,16.9,81.7,5,12.4
A,19.283013105392456,160,433.5,10.6,50.3,15.3,98.4,5,10.6
A,19.4940185546875,161,429.8,13.5,29.0,15.0,24.9,5,18.0
A,19.746201038360596,162,456.8,6.0,,18.2,,13,7.0
A,19.746578454971313,162,380.1,4.7,10.3,5.9,25.1,7,14.6
A,20.470075607299805,165,462.9,3.8,,16.6,,13,-3.5
A,20.68726897239685,166,457.1,3.1,,3.5,,13,0.2
A,20.687663078308105,166,379.8,4.8,12.5,5.1,5.7,7,16.2
A,21.185097217559814,168,436.3,10.9,48.5,16.6,101.2,5,9.4
A,21.421000480651855,169,432.0,11.1,45.7,17.6,104.3,5,10.8
A,21.63948631286621,170,433.2,11.0,50.8,16.5,84.7,5,10.1
A,21.864699840545654,171,433.0,10.9,48.7,15.9,94.3,5,9.8
A,22.115674257278442,172,431.6,11.5,46.6,16.4,87.7,5,11.6
A,22.36446475982666,173,430.8,11.8,47.5,17.7,103.2,5,12.0
A,22.36483120918274,173,386.3,4.4,15.5,4.2,3.4,7,14.2
A,22.592710256576538,174,431.5,12.8,46.0,20.7,91.6,5,11.1
A,22.86199116706848,175,429.5,13.0,47.7,17.4,52.8,5,14.1
A,23.090047359466553,176,429.4,12.7,41.8,19.2,74.7,5,12.5
A,23.3738534450531,177,430.0,12.2,41.8,18.1,81.9,5,11.9
A,23.629998922348022,178,433.7,12.4,50.4,17.0,73.5,5,11.3
A,23.88928508758545,179,429.9,12.8,44.5,19.6,96.0,5,12.5
A,23.889643907546997,179,403.0,9.8,14.8,8.4,0.0,7,41.4
A,24.149232864379883,180,427.8,12.3,43.7,15.6,42.6,5,15.6
A,24.373457193374634,181,430.1,12.9,47.2,18.1,77.9,5,13.3
A,24.624993324279785,182,429.2,11.4,42.9,15.6,74.8,5,14.6
A,24.881466388702393,183,430.8,12.2,45.7,16.0,56.5,5,15.7
A,25.133719444274902,184,429.9,12.9,46.0,16.2,22.9,5,18.0
A,25.357830047607422,185,431.8,12.2,53.3,17.2,69.9,5,12.7
A,25.621747493743896,186,434.0,12.8,54.1,17.7,38.7,5,15.9
A,25.622123956680298,186,403.8,6.0,,4.4,,7,8.9
A,25.87713623046875,187,430.8,11.3,50.0,15.7,77.0,5,14.4
A,26.171315908432007,188,433.1,12.0,50.3,16.9,67.7,5,14.4
A,26.393497228622437,189,430.3,13.4,52.1,19.3,52.9,5,12.2
A,26.66251039505005,190,432.7,12.9,54.3,17.3,30.4,5,15.0
A,26.919251441955566,191,432.6,10.4,46.4,16.1,108.1,5,10.3
A,27.214797496795654,192,431.2,11.9,50.3,17.5,77.2,5,13.2
A,27.48849058151245,193,440.6,5.9,-2.5,8.7,,5,2.9
A,28.060335159301758,195,432.0,13.0,49.8,19.2,59.0,5,13.1
A,28.3486590385437,196,433.3,11.2,46.0,17.5,99.2,5,10.5
A,28.66651177406311,197,431.5,11.2,48.3,15.9,87.9,5,14.1
A,28.928173542022705,198,434.2,12.2,46.5,18.9,86.0,5,10.8
A,29.203662872314453,199,429.6,12.8,48.8,20.1,70.8,5,14.2
A,29.461960315704346,200,433.5,11.4,54.0,17.3,70.7,5,14.6
A,29.69568395614624,201,431.2,12.3,52.4,18.5,68.5,5,12.3
A,29.96817898750305,202,430.8,11.1,46.3,14.8,67.7,5,11.8
A,30.23085069656372,203,433.4,12.1,52.6,19.4,48.7,5,13.9
A,30.231240272521973,203,405.7,8.4,19.2,5.8,0.0,7,38.8
A,30.46520233154297,204,427.8,12.9,42.8,17.1,51.7,5,15.6
A,30.7054123878479,205,433.4,12.1,52.4,18.2,68.3,5,12.6
A,30.949109077453613,206,431.0,12.1,47.0,17.7,54.9,5,13.0
A,31.215826988220215,207,431.4,13.4,52.1,19.5,40.4,5,15.9
A,31.44945240020752,208,431.8,12.9,54.0,16.5,25.5,5,16.3
A,31.691402912139893,209,430.5,12.9,50.3,19.3,48.5,5,14.0
A,31.939213752746582,210,432.6,12.3,51.9,17.8,57.6,5,13.0
A,32.194034576416016,211,430.0,12.6,50.7,18.4,42.6,5,15.7
A,32.44202375411987,212,432.0,11.1,46.9,15.5,71.9,5,13.7
A,32.685715436935425,213,429.8,12.1,47.7,15.5,43.4,5,15.7
A,32.95999503135681,214,430.3,11.0,64.6,14.3,48.3,5,20.3
A,33.25385618209839,215,449.4,12.8,,7.9,,5,-0.7
A,33.53320622444153,216,456.8,3.1,,8.7,,5,0.6
A,33.827901124954224,217,480.0,0.0,,18.6,,5,2.2
A,35.361379861831665,223,434.4,16.9,54.6,24.5,4.0,23,24.6
A,35.63036298751831,224,439.8,16.8,66.0,21.9,1.7,23,19.9
A,35.89552187919617,225,439.8,16.8,65.6,23.0,3.4,23,18.9
A,36.15850377082825,226,442.3,16.6,62.7,24.2,31.7,23,16.3
A,36.40249729156494,227,442.8,13.6,80.7,16.6,27.6,23,22.6
